committee_id,mailer
C00640110,2530
C00390476,417474
C00653840,237324.53
C00655795,66334.56
C00665638,93094.4
C00557652,142309.41
C00505776,5548.07
C00506931,814.52
C00299404,106460.8
C00647081,10501.71
C00653824,41.01
C00648741,24104.34
C00635045,5905.46
C00662601,108248.12
C00662551,32089.54
C00662817,36256.88
C00661181,38982.81
C00655191,2000
C00668798,5354.87
C00667840,132447
C00670646,3704.47
C00649640,4480
C00664466,98393.5
C00657122,164708.19
C00482307,201465.93
C00564948,650
C00680918,20786.3
C00667295,266.41
C00664508,1263.9
C00668194,6367.200000000001
C00308742,1000
C00648196,18394.629999999997
C00649400,45935
C00499392,296106.98
C00652743,477829
C00672162,1500
C00614826,52203.28
C00651984,7826.3099999999995
C00660795,49559.17
C00669838,1116.79
C00641126,21937.36
C00662296,2053.12
C00649707,362.52
C00660977,11200
C00636092,104900.49
C00464602,204844.55
C00405431,430711.39999999997
C00664565,11803.67
C00390724,189713.88999999998
C00666743,63508.04
C00662619,420
C00632067,57230.27
C00674663,2538.97
C00652958,1951.44
C00519645,12250
C00662668,4082.64
C00677898,29827.12
C00656454,236.48
C00640722,644.9
C00303305,590568.6
C00670059,18354.8
C00656280,1258.8
C00661694,20
C00663443,7165.15
C00661256,14890.650000000001
C00546358,16996.65
C00546853,4118.360000000001
C00607432,62573.9
C00659078,6698.790000000001
C00523902,1287.05
C00659912,5778.11
C00359034,18998.43
C00667378,5691.2
C00638973,1121.68
C00678086,104956.57999999999
C00647198,2000
C00671537,94156.20999999999
C00658591,140
C00652396,74768.54
C00422980,12003.04
C00167585,367338.41000000003
C00578302,10201.210000000001
C00667006,128928.93
C00224691,5654.3
C00646455,34343.24
C00673020,912
C00666859,8216.619999999999
C00659714,33071.95
C00646695,3364.92
C00608430,15010.53
C00572560,59425.020000000004
C00634253,8687
C00572602,10939.17
C00671784,13902
C00657874,1447.6
C00653048,44068.51
C00592048,716.98
C00592154,2868.26
C00592956,78761.88
C00630061,97963
C00647560,20288.97
C00602722,50573
C00654004,46954.93
C00663617,222
C00663203,12900
C00640755,465.48
C00410639,9.48
C00663310,4895.04
C00667741,104907.05
C00677583,8505.99
C00633982,5742
C00633370,10147.62
C00460402,5603
C00633024,29405
C00630988,116
C00629774,39225
C00616045,52377.04
C00630913,1820.3
C00640912,1525.74
C00620443,23098.02
C00368522,5813.43
C00464149,37721.21
C00632943,918.99
C00634873,147
C00636860,559.71
C00649012,59862.880000000005
C00658005,21500
C00649301,91402.34
C00638346,2441.98
C00671891,206708.57
C00652222,470.46000000000004
C00612408,6000
C00654442,26389.739999999998
C00468256,36390.630000000005
C00660753,55669
C00652107,18951
C00648766,74082.99
C00555813,2108.82
C00655720,2623.41
C00634923,13055
C00636571,165972.12999999998
C00539866,1525
C00664045,15000
C00640698,31039.6
C00652354,2750
C00652651,85019.04000000001
C00681957,4103.81
C00666479,13200
C00635854,6551.3
C00634659,700
C00654400,9876.86
C00657676,800
C00659110,15750
C00647446,4983.74
C00661900,10400
C00664755,50098.82
C00640474,13631.55
C00647339,9749
C00662866,45469.08
C00639096,18000
C00582015,15576.17
C00408534,3627.36
C00659367,369.28
C00654723,16000
C00679852,7081.7
C00668335,2935.63
C00672873,5210
C00654194,2450
C00650036,1827
C00670463,250
C00658534,1150
C00656959,13715.27
C00675330,250
C00665059,3858
C00672899,26056.120000000003
C00673533,1644.02
C00658674,2192.62
C00638825,7482.19
C00647099,27135
C00647693,5138.26
C00639567,4301.52
C00254573,7944.8
C00676528,23000
C00474189,930.1400000000001
C00331397,23277.07
C00635888,13611
C00648915,141.56
C00646844,5459.18
C00652628,28741.32
C00653220,13305
C00659235,809.34
C00610212,2989.2
C00655084,4771.8
C00637785,13070.73
C00393348,298069.09
C00658385,20424.84
C00569707,19767
C00498212,10188
C00658419,38177.48
C00592279,6955
C00639310,1000
C00391029,2061.22
C00671859,30884.1
C00661371,3686.43
C00684720,942.19
C00663054,43447.77
C00657718,306.99
C00258475,43671.64
C00510164,2610.42
C00666453,5000
C00648295,14954.99
C00655571,3263.89
C00678326,1050
C00266940,32900
C00370056,5554.11
C00636696,3700
C00502229,32009.78
C00617209,12904.59
C00655555,93.9
C00648972,4400.4400000000005
C00287904,41378.9
C00200865,1292.6
C00662809,92860.01
C00637397,1563.89
C00506832,37877.47
C00663013,5457.55
C00675405,700
C00420935,31434.78
C00662874,119035.83
C00663930,25398.59
C00653238,8300.31
C00383828,87526
C00628917,52375.64
C00675728,1855.51
C00672931,20336.5
C00661769,2018.89
C00444471,40791.45
C00650622,17323.66
C00415182,1331.63
C00648055,21605.02
C00672451,300
C00273169,14048
C00554014,1176.5
C00676668,33124.28
C00415331,37888
C00461822,12602.17
C00654988,599.84
C00662171,78888
C00376087,13655.77
C00634808,17310.64
C00654178,846.8000000000001
C00472241,14237.07
C00509299,4225.59
C00561530,1548.81
C00577999,8205.28
C00633057,28000
C00639427,7816.15
C00640938,292.5
C00648253,1144.42
C00659201,521.38
C00665513,1517.52
