committee_id,wages
C00646745,666736.41
C00412890,49139.33
C00662874,107575
C00390476,95238
C00580415,201373.93
C00649632,118350.48
C00512202,159155.86
C00670463,35237.5
C00546853,222516.99
C00648998,128100.45
C00599514,180.34
C00250720,68568.74
C00658625,787.5
C00410233,14419.3
C00257956,32842.5
C00657155,12520.960000000001
C00661595,15977.21
C00662395,38157.36
C00373563,220753.22
C00646901,9973.85
C00612432,44590.58
C00639872,25761.6
C00464073,46058.85
C00652628,239393.09
C00631945,133828.34
C00655902,10370.67
C00655514,65077.119999999995
C00405431,42292.25
C00655084,6060
C00655548,77909.5
C00670679,72344.1
C00561530,39980.42
C00631572,113112.5
C00577999,11771
C00479063,32405
C00446906,91117
C00613539,14000
C00370650,24000
C00215905,229727.11
C00660753,12444.630000000001
C00554261,144077.64
C00116632,400
C00605592,300796.37
C00677609,1050
C00257337,47046.39
C00648295,197847.5
C00224691,61238.48
C00657171,20550.5
C00540617,10361
C00607879,670
C00607416,161509.71
C00632984,1230
C00650671,18185
C00589473,500
C00587782,4440
C00633370,2925
C00631564,1792.5
C00393629,13032.35
C00614826,240
C00286187,300
C00636498,1220.75
C00571869,8140
C00657411,926670.84
C00660050,4274.78
C00651117,219.6
C00269837,31464.76
C00143230,520.52
C00372532,1468
C00420935,4400
C00462861,2065.8
C00631127,3442.9
C00550871,5675.19
C00648162,6010.53
